comments,category
10,train delay
" 02822 superfast express delayed by 4 hours Plz atleast remove tag of ""superfast"" so that ppl won't book the ticket Reviews suggests that it's always late ",train delay
" Dear Sir I kindly request you to take action against the pantry boys who demand ""bakshish"" after serving meals in the train This has become a regular practice They are making more money than their salaries by this means ",staff complain
" Do you really have time to address my concern or all the ""passenger is the most important visitor in our premises "" slogans are just for boasting? Alok stat us 970379578119045120 ",poor service
" I am travelling in Train No 19402 PNR No 2343384100 Boarded the 3rd AC from Ajmer at 17:00 and till now 20:30 did not receive any bed roll pillow and towel Upon enquiring the Coach Attendant says ""We are out of stock so can't provide""",staff complain
" I have booked 1 3AC and 1 CC in 12909From BVI to MTJ for DOJ: 10 03 2018 I have my account ""AADHAR LINKED"" as well Both the tickets were in WL and I wasn't expecting 3AC to get confirmed But both the tickets got confirmed eventually ",appreciation
" if option is checked for ""BOOK ONLY IF ONE LOWER BERTH IS ALLOTED "" and if ticket cancelled by user than y I have to pay for INTERNET HANDLING CHARGE ?? IF THE TICKET IS NOT BOOKED U SHOULD RETURN FULL AMOUNT DEDUCTED",poor service
" if we are paying dynamic fare for a premium train like ""humsafar"" then we also expect to run it on time I am talking about 12571 which always reaches on destination 3 4 hour late Please do something this is disappointing",train delay
" if we are paying dynamic fare for a premium train like ""humsafar"" then we also expect to run it on time I am talking about 12571 which always reaches on destination 3 4 hour late Please do something this is disappointing",train delay
" Indian Version of ""Snakes on a plane"" would be ""Cockroaches on the train"". ",hygiene
" Issue: specail train stoppage regular dayPlease regular day this special train no 04208 Anvt BsbNote: Should be Must stoppage ""JAUNPUR CITY"" station ",request new service
" mail express trains should have ""ETA display"" with update of next station which will help passengers travelling for 1st time from particular route Just an suggestion ",train delay
" my account has been deactivated ""plucky197"". May I know the reason. Please re activate it.",request new service
" My ID ""anirazz"" suspendaed since lont time mailed more tham time But no response last Ticket ID IRCTC #8297002 ",poor service
" need to start a pan 8ndia drive ""Train in time""",request new service
" no room for luggage in Himalayan Queen Kalka-Shimla ""heritage"" train coaches. You plan to do something about it? pic.twitter.com/97i4QIjCd2",poor service
" NRly Request: Please provide stoppage at ""JAUNPUR CITY"" STATION of Train no 22419Note: From ""JAUNPUR CITY"" station to Bakkas 110km maximum permissible speed ",request new service
" Prepaid food booked but not delivered order no-382707. booked my meal prepaid but I didn't get food on the prescribed time and train leave the station . And when I called the vendor he didn't give proper response . He just say ""Mil jayaga "" ",staff complain
" Sir Nizamuddin Rail STN near Ticket Ghar ""Booking Office"" near platform no 7 switch ports are not working ",poor service
" Sir request you to allot some more trains during the festive time as today i am booking a ticket from Gwalior to Indore i tried 12 Times but everytime ""Sorry Try again "" is showing totally fed up Pls Help",poor service
" Thanx to JHS from passengers of 15065 for ""understanding block ignoring off schedule"" by giving priority and helping block stucked passengers reach early : #Thanks #IR #JHS",appreciation
